| event_type | description | substitute | fixed |
|---|---|---|---|
| combobox | id=u021_pg2_menu3\|index=5 | u021-pg2_menu3_index5 | u021-pg2-menu3_index5 |
| combobox | id=u021_pg2_menu3\|index=1 | u021-pg2_menu3_index1 | u021-pg2-menu3_index1 |
| combobox | id=u021_pg2_menu1\|index=3 | u021-pg2_menu1_index3 | u021-pg2-menu1_index3 |
| combobox | id=u021_pg2_menu1\|index=11 | u021-pg2_menu1_index11 | u021-pg2-menu1_index11 |
| combobox | id=u021_pg2_menu3\|index=6 | u021-pg2_menu3_index6 | u021-pg2-menu3_index6 |
| combobox | id=u021_pg4_menu2\|index=1 | u021-pg4_menu2_index1 | u021-pg4-menu2_index1 |
| combobox | id=u021_pg2_menu4\|index=2 | u021-pg2_menu4_index2 | u021-pg2-menu4_index2 |
| combobox | id=u021_pg2_menu4\|index=8 | u021-pg2_menu4_index8 | u021-pg2-menu4_index8 |
| combobox | id=u021_default_menu1\|index=6 | u021-default_menu1_index6 | u021-default-menu1_index6 |
| combobox | id=u021_pg2_menu2\|index=10 | u021-pg2_menu2_index10 | u021-pg2-menu2_index10 |
| combobox | id=u021_default_menu1\|index=8 | u021-default_menu1_index8 | u021-default-menu1_index8 |
| combobox | id=u021_pg2_menu1\|index=0 | u021-pg2_menu1_index0 | u021-pg2-menu1_index0 |
| combobox | id=u021_pg4_menu2\|index=4 | u021-pg4_menu2_index4 | u021-pg4-menu2_index4 |
| combobox | id=u021_default_menu1\|index=10 | u021-default_menu1_index10 | u021-default-menu1_index10 |
| combobox | id=u021_default_menu1\|index=0 | u021-default_menu1_index0 | u021-default-menu1_index0 |
| combobox | id=u021_pg2_menu1\|index=10 | u021-pg2_menu1_index10 | u021-pg2-menu1_index10 |
| combobox | id=u021_pg2_menu6\|index=17 | u021-pg2_menu6_index17 | u021-pg2-menu6_index17 |
| combobox | id=u021_pg2_menu6\|index=3 | u021-pg2_menu6_index3 | u021-pg2-menu6_index3 |
| combobox | id=u021_default_menu2\|index=2 | u021-default_menu2_index2 | u021-default-menu2_index2 |
| combobox | id=u021_pg2_menu1\|index=7 | u021-pg2_menu1_index7 | u021-pg2-menu1_index7 |
| combobox | id=u021_default_menu2\|index=5 | u021-default_menu2_index5 | u021-default-menu2_index5 |
| combobox | id=u021_pg4_menu1\|index=0 | u021-pg4_menu1_index0 | u021-pg4-menu1_index0 |
| combobox | id=u021_pg2_menu2\|index=3 | u021-pg2_menu2_index3 | u021-pg2-menu2_index3 |
| combobox | id=u021_pg2_menu4\|index=6 | u021-pg2_menu4_index6 | u021-pg2-menu4_index6 |
| combobox | id=u021_pg2_menu2\|index=8 | u021-pg2_menu2_index8 | u021-pg2-menu2_index8 |
| combobox | id=u021_pg4_menu1\|index=1 | u021-pg4_menu1_index1 | u021-pg4-menu1_index1 |
| combobox | id=u021_pg2_menu3\|index=0 | u021-pg2_menu3_index0 | u021-pg2-menu3_index0 |
| combobox | id=u021_pg4_menu1\|index=8 | u021-pg4_menu1_index8 | u021-pg4-menu1_index8 |
| combobox | id=u021_pg2_menu2\|index=4 | u021-pg2_menu2_index4 | u021-pg2-menu2_index4 |
| combobox | id=u021_pg2_menu4\|index=7 | u021-pg2_menu4_index7 | u021-pg2-menu4_index7 |
| combobox | id=u021_default_menu1\|index=4 | u021-default_menu1_index4 | u021-default-menu1_index4 |
| combobox | id=u021_pg2_menu1\|index=2 | u021-pg2_menu1_index2 | u021-pg2-menu1_index2 |
| combobox | id=u021_pg2_menu1\|index=1 | u021-pg2_menu1_index1 | u021-pg2-menu1_index1 |
| combobox | id=u021_pg2_menu6\|index=1 | u021-pg2_menu6_index1 | u021-pg2-menu6_index1 |
| combobox | id=u021_default_menu1\|index=1 | u021-default_menu1_index1 | u021-default-menu1_index1 |
| combobox | id=u021_pg2_menu3\|index=15 | u021-pg2_menu3_index15 | u021-pg2-menu3_index15 |
| combobox | id=u021_pg2_menu6\|index=10 | u021-pg2_menu6_index10 | u021-pg2-menu6_index10 |
| combobox | id=u021_pg2_menu1\|index=5 | u021-pg2_menu1_index5 | u021-pg2-menu1_index5 |
| combobox | id=u021_pg2_menu4\|index=3 | u021-pg2_menu4_index3 | u021-pg2-menu4_index3 |
| combobox | id=u021_pg2_menu4\|index=9 | u021-pg2_menu4_index9 | u021-pg2-menu4_index9 |
| combobox | id=u021_pg2_menu5\|index=8 | u021-pg2_menu5_index8 | u021-pg2-menu5_index8 |
| combobox | id=u021_pg4_menu1\|index=10 | u021-pg4_menu1_index10 | u021-pg4-menu1_index10 |
| combobox | id=u021_pg2_menu1\|index=6 | u021-pg2_menu1_index6 | u021-pg2-menu1_index6 |
| combobox | id=u021_pg2_menu6\|index=0 | u021-pg2_menu6_index0 | u021-pg2-menu6_index0 |
| combobox | id=u021_pg4_menu1\|index=4 | u021-pg4_menu1_index4 | u021-pg4-menu1_index4 |
| combobox | id=u021_pg2_menu2\|index=1 | u021-pg2_menu2_index1 | u021-pg2-menu2_index1 |
| combobox | id=u021_pg2_menu2\|index=16 | u021-pg2_menu2_index16 | u021-pg2-menu2_index16 |
| combobox | id=u021_pg2_menu5\|index=10 | u021-pg2_menu5_index10 | u021-pg2-menu5_index10 |
| combobox | id=u021_pg2_menu5\|index=9 | u021-pg2_menu5_index9 | u021-pg2-menu5_index9 |
| combobox | id=u021_pg4_menu1\|index=9 | u021-pg4_menu1_index9 | u021-pg4-menu1_index9 |
| combobox | id=u021_pg2_menu3\|index=3 | u021-pg2_menu3_index3 | u021-pg2-menu3_index3 |
| combobox | id=u021_pg4_menu1\|index=6 | u021-pg4_menu1_index6 | u021-pg4-menu1_index6 |
| combobox | id=u021_pg2_menu4\|index=1 | u021-pg2_menu4_index1 | u021-pg2-menu4_index1 |
| combobox | id=u021_pg2_menu6\|index=2 | u021-pg2_menu6_index2 | u021-pg2-menu6_index2 |
| combobox | id=u021_pg2_menu1\|index=19 | u021-pg2_menu1_index19 | u021-pg2-menu1_index19 |
| combobox | id=u021_default_menu1\|index=7 | u021-default_menu1_index7 | u021-default-menu1_index7 |
| combobox | id=u021_pg2_menu4\|index=0 | u021-pg2_menu4_index0 | u021-pg2-menu4_index0 |
| combobox | id=u021_pg2_menu4\|index=10 | u021-pg2_menu4_index10 | u021-pg2-menu4_index10 |
| combobox | id=u021_pg2_menu6\|index=4 | u021-pg2_menu6_index4 | u021-pg2-menu6_index4 |
| combobox | id=u021_pg2_menu3\|index=2 | u021-pg2_menu3_index2 | u021-pg2-menu3_index2 |
| combobox | id=u021_default_menu2\|index=6 | u021-default_menu2_index6 | u021-default-menu2_index6 |
| combobox | id=u021_pg2_menu5\|index=1 | u021-pg2_menu5_index1 | u021-pg2-menu5_index1 |
| combobox | id=u021_pg2_menu4\|index=14 | u021-pg2_menu4_index14 | u021-pg2-menu4_index14 |
| combobox | id=u021_pg2_menu2\|index=6 | u021-pg2_menu2_index6 | u021-pg2-menu2_index6 |
| combobox | id=u021_pg2_menu5\|index=0 | u021-pg2_menu5_index0 | u021-pg2-menu5_index0 |
| combobox | id=u021_pg4_menu2\|index=2 | u021-pg4_menu2_index2 | u021-pg4-menu2_index2 |
| combobox | id=u021_pg2_menu1\|index=4 | u021-pg2_menu1_index4 | u021-pg2-menu1_index4 |
| combobox | id=u021_pg2_menu3\|index=8 | u021-pg2_menu3_index8 | u021-pg2-menu3_index8 |
| combobox | id=u021_pg2_menu6\|index=6 | u021-pg2_menu6_index6 | u021-pg2-menu6_index6 |
| combobox | id=u021_pg2_menu2\|index=0 | u021-pg2_menu2_index0 | u021-pg2-menu2_index0 |
| combobox | id=u021_pg2_menu2\|index=2 | u021-pg2_menu2_index2 | u021-pg2-menu2_index2 |
| combobox | id=u021_default_menu2\|index=3 | u021-default_menu2_index3 | u021-default-menu2_index3 |
| combobox | id=u021_pg2_menu4\|index=11 | u021-pg2_menu4_index11 | u021-pg2-menu4_index11 |
| combobox | id=u021_pg2_menu6\|index=9 | u021-pg2_menu6_index9 | u021-pg2-menu6_index9 |
| combobox | id=u021_pg2_menu6\|index=8 | u021-pg2_menu6_index8 | u021-pg2-menu6_index8 |
| combobox | id=u021_pg2_menu1\|index=18 | u021-pg2_menu1_index18 | u021-pg2-menu1_index18 |
| combobox | id=u021_pg2_menu1\|index=9 | u021-pg2_menu1_index9 | u021-pg2-menu1_index9 |
| combobox | id=u021_pg2_menu5\|index=3 | u021-pg2_menu5_index3 | u021-pg2-menu5_index3 |
| combobox | id=u021_pg2_menu5\|index=2 | u021-pg2_menu5_index2 | u021-pg2-menu5_index2 |
| combobox | id=u021_pg2_menu3\|index=19 | u021-pg2_menu3_index19 | u021-pg2-menu3_index19 |
